Key,ShortKey,Source,Row,Module,Field,Role,CN,EN
State_3123_WeaponDesc,aWNN,z状态表_State_A.csv,1849,State,WeaponDesc,,装备者造成的反击提高 <WeaponEffect_Num:[StateArg3]%>。每受到 1 次攻击，就获得 <WeaponEffect_Num:[Power:DescArg1]> 点临时<PowerIconKeywords:力量>。装备者使用狂气爆发后，获得 <WeaponEffect_Num:[Counterattack:DescArg2]> 点反击。,"<RetaliateIconKeywords:Counter> gained from the wielder +<WeaponEffect_Num:[StateArg3]%>.\nWhenever an enemy attacks you, gain <WeaponEffect_Num:[Power:DescArg1]> Temporary <PowerIconKeywords:STR>.\nAfter the wielder Exalts, gain <WeaponEffect_Num:[Counterattack:DescArg2]> <RetaliateIconKeywords:Counter>."
Item_9689_Name,aGaB,d道具_Item_A.csv,344,Item,Name,,坚韧意志,Will Unyielding
State_3200_Desc,aWRN,z状态表_State_A.csv,1839,State,Desc,,队伍唯一：装备者造成的基础伤害和护盾提高 <WeaponEffect_Num:[StateArg1]%>。探索开始时将一张装备者的「打击」和「防御」加入牌库。装备者打出「防御」后，使装备者下一张「打击」暴击率与暴击伤害提高 15%，装备者打出「打击」后，使装备者下一张「防御」护盾提高 15%，可堆叠 3 次。,"The wielder's Base DMG and Shield gained from them each +<WeaponEffect_Num:[StateArg1]%>.\nAt the start of investigation, add 1 of the wielder's Basic Strike and 1 of their Basic Defense to the deck.\nWhenever one of their Strike Commands is played, Shield gained from their next Defense Command +15%;\nWhenever one of their Defense Commands is played, the Crit. Rate & Crit. DMG of their next Strike Command +15%.\nThese effects can stack up to 3 times, and persist between battles."
State_3200_WeaponDesc,aWRP,z状态表_State_A.csv,1839,State,WeaponDesc,,装备者造成的基础伤害和护盾提高 <WeaponEffect_Num:[StateArg1]%>。探索开始时将一张装备者的「打击」和「防御」加入牌库。装备者打出「防御」后，使装备者下一张「打击」暴击率与暴击伤害提高 15%，装备者打出「打击」后，使装备者下一张「防御」护盾提高 15%，可堆叠 3 次。,"The wielder's Base DMG and Shield gained from them each +<WeaponEffect_Num:[StateArg1]%>.\nAt the start of investigation, add 1 of the wielder's Basic Strike and 1 of their Basic Defense to the deck.\nWhenever one of their Strike Commands is played, Shield gained from their next Defense Command +15%;\nWhenever one of their Defense Commands is played, the Crit. Rate & Crit. DMG of their next Strike Command +15%.\nThese effects can stack up to 3 times, and persist between battles."
Item_9974_Name,aGuV,d道具_Item_A.csv,345,Item,Name,,无声欢宴,Silent Banquet
State_3112_Desc,aWNe,z状态表_State_A.csv,1848,State,Desc,,队伍唯一：装备者造成的中毒提高 <WeaponEffect_Num:[StateArg3]%>。装备者释放狂气爆发后，回复等同于装备者体质 <WeaponEffect_Num:[StateArg1]%> 的生命，每剩余 1 点算力就额外回复装备者体质的 <WeaponEffect_Num:[StateArg2]%> 的生命。,"<IntoxicationIconKeywords:Poison> inflicted by the wielder +<WeaponEffect_Num:[StateArg3]%>.\nAfter the wielder Exalts, recover HP equal to <WeaponEffect_Num:[StateArg1]%> of their CON, plus another <WeaponEffect_Num:[StateArg2]%> of their CON for each unspent Arithmetica."
State_3112_WeaponDesc,aWNg,z状态表_State_A.csv,1848,State,WeaponDesc,,装备者造成的中毒提高 <WeaponEffect_Num:[StateArg3]%>。装备者释放狂气爆发后，回复 <WeaponEffect_Num:[Heal:DescArg1]> 点生命，每剩余 1 点算力额外回复 <WeaponEffect_Num:[Heal:DescArg2]> 点生命。,"<IntoxicationIconKeywords:Poison> inflicted by the wielder +<WeaponEffect_Num:[StateArg3]%>.\nAfter the wielder Exalts, recover <WeaponEffect_Num:[Heal:DescArg1]> HP, plus another <WeaponEffect_Num:[Heal:DescArg2]> HP for each unspent Arithmetica."
Item_9734_Name,aGdV,d道具_Item_A.csv,346,Item,Name,,跨越疼痛,Grace Through Pain
State_2979_Desc,aWFK,z状态表_State_A.csv,2019,State,Desc,,队伍唯一：装备者造成的中毒和护盾提高 <WeaponEffect_Num:[StateArg3]%>。装备者的「打击」暴击率和暴击伤害提高 <WeaponEffect_Num:[StateArg1]%>，并获得最大生命 <WeaponEffect_Num:[StateArg2]%> 的护盾，护盾效果每回合最多生效 1 次。,"<IntoxicationIconKeywords:Poison> inflicted by and Shield gained from the wielder each +<WeaponEffect_Num:[StateArg3]%>, and the Crit. Rate & Crit. DMG of the wielder's Strike Commands +<WeaponEffect_Num:[StateArg1]%>.\nThe first time one of their Strike Commands is played each turn, gain Shield equal to <WeaponEffect_Num:[StateArg2]%> of Max HP."
State_2979_WeaponDesc,aWFM,z状态表_State_A.csv,2019,State,WeaponDesc,,装备者造成的中毒和护盾提高 <WeaponEffect_Num:[StateArg3]%>。装备者的「打击」暴击率和暴击伤害提高 <WeaponEffect_Num:[StateArg1]%>，并获得最大生命 [StateArg2]%([DescArg1]) 的护盾，护盾效果每回合最多生效 1 次。,"<IntoxicationIconKeywords:Poison> inflicted by and Shield gained from the wielder each +<WeaponEffect_Num:[StateArg3]%>, and the Crit. Rate & Crit. DMG of the wielder's Strike Commands +<WeaponEffect_Num:[StateArg1]%>.\nThe first time one of their Strike Commands is played each turn, gain <Block:[DescArg1]> Shield (<WeaponEffect_Num:[StateArg2]%> of Max HP)."
Item_9588_Name,aFSZ,d道具_Item_A.csv,347,Item,Name,,畸体回噬,Aberrant Devour
State_3824_Desc,aXID,z状态表_State_A.csv,1881,State,Desc,,"队伍唯一：装备者的狂气爆发基础伤害提高 [StateArg1]%。探索开始时，装备者进入学者人格状态。装备者释放狂气爆发后在学者人格和小丑人格之间切换。
学者人格：回合结束时，装备者获得 <WeaponEffect_Num:[StateArg2]> 点狂气。
小丑人格：回合结束时，装备者暴击率和暴击伤害 <WeaponEffect_Num:+[StateArg3]%>。","The Base DMG of the wielder's Exalt +[StateArg1]%.\nAt the start of investigation, the wielder's Scholar alter begins to front. After the wielder Exalts, they switch between Scholar and Jester.\n<Italic:Scholar> — The wielder gains <WeaponEffect_Num:[StateArg2]> Aliemus at the end of each turn.\n<Italic:Jester> — The wielder's Crit. Rate & Crit. DMG +<WeaponEffect_Num:[StateArg3]%> at the end of each turn."
State_3824_WeaponDesc,aXIF,z状态表_State_A.csv,1881,State,WeaponDesc,,"装备者的狂气爆发基础伤害提高 [StateArg1]%。探索开始时，装备者进入学者人格状态。装备者释放狂气爆发后在学者人格和小丑人格之间切换。
学者人格：回合结束时，装备者获得 <WeaponEffect_Num:[StateArg2]> 点狂气。
小丑人格：回合结束时，装备者暴击率和暴击伤害 <WeaponEffect_Num:+[StateArg3]%>。","The Base DMG of the wielder's Exalt +[StateArg1]%.\nThe wielder began investigation with Scholar fronting. After the wielder Exalts, they switch between Scholar and Jester.\n<Italic:Scholar> — The wielder gains <WeaponEffect_Num:[StateArg2]> Aliemus at the end of each turn.\n<Italic:Jester> — The wielder's Crit. Rate & Crit. DMG +<WeaponEffect_Num:[StateArg3]%> at the end of each turn."
Item_10100_Name,aCQd,d道具_Item_A.csv,348,Item,Name,,好运时间,Hour of Fortune
State_2575_Desc,aWka,z状态表_State_A.csv,2021,State,Desc,,队伍唯一：战斗开始时，每拥有一个造物就使装备者指令卡暴击率提高 [StateArg1]%。装备者释放狂气爆发后投一颗 4 面骰子，装备者获得 <WeaponEffect_Num:[StateArg2]> 倍骰子点数的狂气和临时暴击伤害，若其投出 4 或以上，其他唤醒体也获得一半。,"At the start of battle, the Crit. Rate of the wielder's Command Cards +[StateArg1]% for each Relic acquired.\nAfter the wielder Exalts, roll a 4-sided die; they gain +X% Temp. Crit. DMG & <Energy:X> Aliemus, where X is <WeaponEffect_Num:[StateArg2]> times the result. If the result is 4 or higher, also grant other Awakeners half of this effect."
State_2575_WeaponDesc,aWkc,z状态表_State_A.csv,2021,State,WeaponDesc,,战斗开始时，每拥有一个造物就使装备者指令卡暴击率提高 [StateArg1]%。装备者释放狂气爆发后投一颗 4 面骰子，装备者获得 <WeaponEffect_Num:[StateArg2]> 倍骰子点数的狂气和临时暴击伤害，若其投出 4 或以上，其他唤醒体也获得一半。,"At the start of battle, the Crit. Rate of the wielder's Command Cards +[StateArg1]% for each Relic acquired.\nAfter the wielder Exalts, roll a 4-sided die; they gain +X% Temp. Crit. DMG & <Energy:X> Aliemus, where X is <WeaponEffect_Num:[StateArg2]> times the result. If the result is 4 or higher, also grant other Awakeners half of this effect."
Item_54114_Name,aDTJ,d道具_Item_A.csv,349,Item,Name,,永恒安魂曲,Eternal Requiem
State_60592_Desc,aYYp,z状态表_State_A.csv,2016,State,Desc,,队伍唯一：探索开始时，将 1 张「银钥曦光」洗入抽牌堆并附加「<DestructionKeywords:销毁>」。释放钥令后，装备者暴击伤害提高 <WeaponEffect_Num:[StateArg1]%>。装备者造成伤害时，获得等同于装备者银钥充能 <WeaponEffect_Num:[StateArg2]%> 的银钥能量和 <WeaponEffect_Num:[StateArg3]%> 临时暴击率，每回合最多生效 5 次。,"At the start of investigation, add 1 ""<DerivativeCardKeywords_67:Silver Key Dawn>"" with <DestructionKeywords:Destroy> to the deck.\nWhenever you unleash a Posse, the wielder's Crit. DMG +<WeaponEffect_Num:[StateArg1]%>.\nWhenever the wielder deals DMG, their Crit. Rate +<WeaponEffect_Num:[StateArg3]%> this turn and you gain Keyflare equal to <WeaponEffect_Num:[StateArg2]%> of their Keyflare Regen, up to 5 times each turn."
State_60592_WeaponDesc,aYYr,z状态表_State_A.csv,2016,State,WeaponDesc,,探索开始时，将 1 张「银钥曦光」洗入抽牌堆并附加「<DestructionKeywords:销毁>」。释放钥令后，装备者暴击伤害提高 <WeaponEffect_Num:[StateArg1]%>。装备者造成伤害时，获得 <WeaponEffect_Num:[DescArg1]> 点银钥能量和 <WeaponEffect_Num:[StateArg3]%> 临时暴击率，每回合最多生效 5 次。,"At the start of investigation, add 1 ""<DerivativeCardKeywords_67:Silver Key Dawn>"" with <DestructionKeywords:Destroy> to the deck.\nWhenever you unleash a Posse, the wielder's Crit. DMG +<WeaponEffect_Num:[StateArg1]%>.\nWhenever the wielder deals DMG, their Crit. Rate +<WeaponEffect_Num:[StateArg3]%> this turn and you gain <WeaponEffect_Num:[DescArg1]> Keyflare, up to 5 times each turn."
Item_54105_Name,aDSZ,d道具_Item_A.csv,350,Item,Name,,隐世的转轮,Wheel Unseen
State_66703_Desc,aZlo,z状态表_State_A.csv,1981,State,Desc,,队伍唯一：银钥积攒上限提高 100%。手牌上限+2，无法和其他命轮提供的手牌上限叠加。装备者银钥充能提高 <WeaponEffect_Num:[StateArg1]%>。装备者打出卡牌后，本回合装备者指令卡暴击率和暴击伤害、造成的护盾、狂气和力量获取效果提高 <WeaponEffect_Num:[StateArg2]%>，至多叠加 5 层。,"Hand Limit +2. <Italic:(Does not stack with other Wheels.)>\nKeyflare Cap +<Posse:100%>.\nThe wielder's Keyflare Regen +<WeaponEffect_Num:[StateArg1]%>.\nAfter one of the wielder's cards is played, the Crit. Rate & Crit. DMG of, Aliemus generated by, and Shield & <PowerIconKeywords:STR> gained from the wielder's cards each +<WeaponEffect_Num:[StateArg2]%> this turn.\n(This effect stacks up to 5 times.)"
State_66703_WeaponDesc,aZlq,z状态表_State_A.csv,1981,State,WeaponDesc,,银钥积攒上限提高 100%。手牌上限+2，无法和其他命轮提供的手牌上限叠加。装备者银钥充能提高 <WeaponEffect_Num:[DescArg2]>。装备者打出卡牌后，本回合装备者指令卡暴击率和暴击伤害、造成的护盾、狂气和力量提高 <WeaponEffect_Num:[StateArg2]%>，至多叠加 5 层(当前 [DescArg1] 层)。,"Hand Limit +2. <Italic:(Does not stack with other Wheels.)>\nKeyflare Cap +<Posse:100%>.\nThe wielder's Keyflare Regen +<WeaponEffect_Num:[DescArg2]>.\nAfter one of the wielder's cards is played, the Crit. Rate & Crit. DMG of, Aliemus generated by, and Shield & <PowerIconKeywords:STR> gained from the wielder's cards each +<WeaponEffect_Num:[StateArg2]%> this turn.\n(This effect has stacked [DescArg1]/5 times this turn.)"
Item_54113_Name,aDTF,d道具_Item_A.csv,351,Item,Name,,坠入虚无的人偶,Manikin of Oblivion
State_70835_Desc,aZIN,z状态表_State_A.csv,1997,State,Desc,,队伍唯一：装备者造成的狂气、中毒、生命回复提高 <WeaponEffect_Num:[StateArg1]%>。装备者释放狂气爆发后，获得等同于本次狂气消耗 <WeaponEffect_Num:[StateArg2]%> 的狂气。,"<IntoxicationIconKeywords:Poison> inflicted, Aliemus generated, and HP recovered by the wielder each +<WeaponEffect_Num:[StateArg1]%>.\nAfter the wielder Exalts, they gain Aliemus equal to <WeaponEffect_Num:[StateArg2]%> of the Aliemus consumed by that Exalt. <Italic:(Aliemus generation bonuses, such as this Wheel, can affect this amount.)>"
State_70835_WeaponDesc,aZIP,z状态表_State_A.csv,1997,State,WeaponDesc,,装备者造成的狂气、中毒、生命回复提高 <WeaponEffect_Num:[StateArg1]%>。装备者释放狂气爆发后，获得等同于本次狂气消耗 <WeaponEffect_Num:[StateArg2]%> 的狂气。,"<IntoxicationIconKeywords:Poison> inflicted, Aliemus generated, and HP recovered by the wielder each +<WeaponEffect_Num:[StateArg1]%>.\nAfter the wielder Exalts, they gain Aliemus equal to <WeaponEffect_Num:[StateArg2]%> of the Aliemus consumed by that Exalt. <Italic:(Aliemus generation bonuses, such as this Wheel, can affect this amount.)>"
Item_77909_Name,aFIp,d道具_Item_A.csv,352,Item,Name,,琥珀色的死亡,Amber-Tinted Death
State_98302_Desc,bBVX,z状态表_State_A.csv,1949,State,Desc,,队伍唯一：装备者造成的基础伤害提高 <WeaponEffect_Num:[StateArg1]%>，力量获取效果提高 <WeaponEffect_Num:[StateArg2]%>。打出装备者指令卡后获得装备者攻击力 <WeaponEffect_Num:[StateArg3]%> 的临时力量，每回合最多触发 5 次。,"The wielder's Base DMG +<WeaponEffect_Num:[StateArg1]%>, and <PowerIconKeywords:STR> gained from them +<WeaponEffect_Num:[StateArg2]%>.\nWhenever one of the wielder's Command Cards is played, gain Temporary <PowerIconKeywords:STR> equal to <WeaponEffect_Num:[StateArg3]%> of their ATK.\n(This effect stacks up to 5 times.)"
State_98302_WeaponDesc,bBVY,z状态表_State_A.csv,1949,State,WeaponDesc,,装备者造成的基础伤害提高 <WeaponEffect_Num:[StateArg1]%>，造成的力量提高 <WeaponEffect_Num:[StateArg2]%>。打出装备者的指令卡后获得 <WeaponEffect_Num:[Power:DescArg1]> 点临时力量，每回合最多触发 5 次(当前已触发 [DescArg2]/5 次)。,"The wielder's Base DMG +<WeaponEffect_Num:[StateArg1]%>, and <PowerIconKeywords:STR> gained from them +<WeaponEffect_Num:[StateArg2]%>.\nWhenever one of the wielder's Command Cards is played, gain <WeaponEffect_Num:[Power:DescArg1]> Temp. <PowerIconKeywords:STR>.\n(This effect has stacked [DescArg2]/5 times this turn.)"
Item_94448_Name,byCh,d道具_Item_A.csv,353,Item,Name,,狂戮至世界尽头,Doomsday Rampage
State_123521_Desc,bLTh,z状态表_State_A.csv,1924,State,Desc,,队伍唯一：装备者狂气爆发和追击基础伤害提高 <WeaponEffect_Num:[StateArg1]%>。 本回合打出任意唤醒体的「打击」后，装备者「打击」伤害临时提高装备者攻击力的 <WeaponEffect_Num:[StateArg2]%>，每回合最多生效 8 次。,"The Base DMG of the wielder's Exalt and Pursuit each +<WeaponEffect_Num:[StateArg1]%>.\nAfter any Awakener's Strike Command is played, DMG dealt by the wielder's Strike Commands this turn increases by <WeaponEffect_Num:[StateArg2]%> of the wielder's ATK.\n(This effect stacks up to 8 times.)"
State_123521_WeaponDesc,bLTi,z状态表_State_A.csv,1924,State,WeaponDesc,,装备者狂气爆发和追击基础伤害提高 <WeaponEffect_Num:[StateArg1]%>。 本回合打出任意唤醒体的「打击」后，装备者「打击」伤害临时提高 <WeaponEffect_Num:[DescArg2]>，每回合最多生效 8 次。,"The Base DMG of the wielder's Exalt and Pursuit each +<WeaponEffect_Num:[StateArg1]%>.\nAfter any Awakener's Strike Command is played, DMG dealt by the wielder's Strike Commands this turn +<WeaponEffect_Num:[DescArg2]>.\n(This effect stacks up to 8 times.)"
Item_9827_Name,aGkF,d道具_Item_A.csv,357,Item,Name,,巨人之刃,Blade of the Titan
State_2887_Desc,aWAJ,z状态表_State_A.csv,2026,State,Desc,,队伍唯一：装备者释放狂气爆发后，其本回合暴击伤害提高 <WeaponEffect_Num:[StateArg1]%>，手中所有装备者的卡牌都有 <WeaponEffect_Num:[StateArg2]%> 概率本回合内算力消耗降低 1 点。,"After the wielder Exalts, their Crit. DMG +<WeaponEffect_Num:[StateArg1]%> this turn, and each of their cards in your hand has a <WeaponEffect_Num:[StateArg2]%> chance to have their Arithmetica Cost reduced by 1 until the end of the turn."
State_2887_WeaponDesc,aWAL,z状态表_State_A.csv,2026,State,WeaponDesc,,装备者释放狂气爆发后，其本回合暴击伤害提高 <WeaponEffect_Num:[StateArg1]%>，手中所有装备者的卡牌都有 <WeaponEffect_Num:[StateArg2]%> 概率本回合内算力消耗降低 1 点。,"After the wielder Exalts, their Crit. DMG +<WeaponEffect_Num:[StateArg1]%> this turn, and each of their cards in your hand has a <WeaponEffect_Num:[StateArg2]%> chance to have their Arithmetica Cost reduced by 1 until the end of the turn."
Item_9630_Name,aFWh,d道具_Item_A.csv,358,Item,Name,,于暴雨之中,Amidst the Downpour
State_2684_Desc,aWpX,z状态表_State_A.csv,1854,State,Desc,,队伍唯一：装备者的「打击」有  <WeaponEffect_Num:[StateArg1]%>  概率获得 1 算力并触发所有敌人 10％ 的<IntoxicationIconKeywords:中毒>，若当前界域为「深海」，触发该效果时使 1 条触腕攻击 1 次。该效果单个回合只生效 1 次。,"The wielder's Strike Commands have a <WeaponEffect_Num:[StateArg1]%> chance to gain 1 Arithmetica and trigger 10% of each enemy's <IntoxicationIconKeywords:Poison>. This effect triggers only once each turn.\nIf the Realm includes Aequor, this effect also triggers 1 Tentacle attack."
State_2684_WeaponDesc,aWpZ,z状态表_State_A.csv,1854,State,WeaponDesc,,装备者的「打击」有  <WeaponEffect_Num:[StateArg1]%>  概率获得 1 算力并触发所有敌人 [DescArg1]％ 的<IntoxicationIconKeywords:中毒>，若当前界域为「深海」，触发该效果时使 1 条触腕攻击 1 次。该效果每回合最多触发 1 次。,"The wielder's Strike Commands have a <WeaponEffect_Num:[StateArg1]%> chance to gain 1 Arithmetica and trigger [DescArg1]% of each enemy's <IntoxicationIconKeywords:Poison>. This effect triggers only once each turn.\nIf the Realm includes Aequor, this effect also triggers 1 Tentacle attack."
Item_9529_Name,aFOJ,d道具_Item_A.csv,359,Item,Name,,伤痛之鳍,Fin of Sorrow
